R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Marginal_cost,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
22,CO,12,Natural Gas Steam Turbine,2,1,310,310,0,50678,1.043,mountain_reference_naturalgas,11.131,30.94960384,0,,0.71,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
123,SoCal,2,Natural Gas Steam Turbine,2,2,134.05,268.1,0,50678,1.043,pacific_reference_naturalgas,11.537,31.93662862,0.203,0.288,0.298,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
62,NV,7,Natural Gas Steam Turbine,1,2,113,1717,0,50678,1.043,mountain_reference_naturalgas,11.728,32.55361448,0.131,0.186,0.159,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
49,NM,9,Natural Gas Steam Turbine,2,3,84,252,0,50678,1.043,mountain_reference_naturalgas,12.157,33.70624525,0,0,0.246,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
48,NM,9,Natural Gas Steam Turbine,1,2,47,94,0,50678,1.043,mountain_reference_naturalgas,13.628,37.65850598,0.39,0.552,0.383,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
21,CO,12,Natural Gas Steam Turbine,1,1,20,20,0,50678,1.043,mountain_reference_naturalgas,27.041,73.69635319,0,,0.15,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
79,NorCal,1,Nuclear,1,6,3617.333,7405.999,0,105225,2.412,pacific_reference_uranium,10.455,9.504034245,0,0,0,0.25,0.25,1,0,244.8153402,24,24,1,1,1,0,0,0,0,0,1
10,AZ,8,Onshore Wind Turbine,1,4,51.075,257.3,0,45062,0,None,9.118,0,0,0,0.024,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
23,CO,12,Onshore Wind Turbine,1,37,88.159,2662,0,45062,0,None,9.123,0,0,0.022,0.077,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
31,ID,5,Onshore Wind Turbine,1,32,30.325,1696.3,0,45062,0,None,9.118,0,0,0,0.029,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
38,MT,6,Onshore Wind Turbine,1,15,55.567,811.5,0,45062,0,None,9.136,0,0,0.032,0.008,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
50,NM,9,Onshore Wind Turbine,1,10,151.51,967.8,0,45062,0,None,9.139,0,0,0.039,0.217,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
63,NV,7,Onshore Wind Turbine,1,1,150,111.2,0,45062,0,None,9.118,0,0,,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
80,NorCal,1,Onshore Wind Turbine,1,30,45.437,1327.6,0,45062,0,None,9.118,0,0,0.023,0.089,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
94,PNW,4,Onshore Wind Turbine,1,70,93.476,5254,0,45062,0,None,9.122,0,0,0.015,0.007,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
